Code,Initiative ID,Activity ID,Initiative / Activity,Priority,Start Date,Target Completion Date,Activity Progress,Progress percentage,Progress status ,Completed,Progress,Next Steps
I,ABC1,ABC1,Obtain MC Endorsement for selecting BCG as the sole-source consulting partner.,High,1/19/2025,7/27/2025,,0.636363636,0.636363636,0,The final stage of the procurement process has been launched.,Operating model project to start Feb'25 
A,ABC1,ABC1.01,Complete and formalize the project agreement with BCG.,High,1/19/2025,2/5/2025,1,0.136363636,0.136363636,,,
A,ABC1,ABC1.02,Scale up the project team with the necessary resources and expertise.,Medium,2/2/2025,3/2/2025,1,0.090909091,0.090909091,,,
A,ABC1,ABC1.03,Initiate the project through an official kick-off session.,High,3/2/2025,3/16/2025,1,0.136363636,0.136363636,,,
A,ABC1,ABC1.04,Phase 1: Establish a comprehensive baseline of the current cybersecurity landscape.,Medium,3/16/2025,3/23/2025,1,0.090909091,0.090909091,,,
A,ABC1,ABC1.05,Phase 2: Define a revised and future-focused cybersecurity mandate.,Medium,3/23/2025,4/20/2025,1,0.090909091,0.090909091,,,
A,ABC1,ABC1.06,Phase 3: Redesign the high-level cybersecurity organizational structure and operating model to align with the new mandate.,Medium,4/20/2025,5/4/2025,1,0.090909091,0.090909091,,,
A,ABC1,ABC1.07,Phase 4: Develop a high-level roadmap for transitioning to and implementing the new model.,Medium,5/4/2025,6/1/2025,0,0,0,,,
A,ABC1,ABC1.08,Engage stakeholders to ensure alignment and secure acknowledgment of the updated cybersecurity mandate and operating model.,Medium,6/1/2025,6/22/2025,0,0,0,,,
A,ABC1,ABC1.09,Obtain MC approval for the Service Order.,Medium,6/22/2025,7/6/2025,0,0,0,,,
A,ABC1,ABC1.10,Finalize and sign the Service Order agreement.,Medium,7/6/2025,7/27/2025,0,0,0,,,
I,ABC2,ABC2,Formally launch the project.,High,12/1/2024,6/8/2025,,0.794871795,0.794871795,0,Requirements to be integrated into  implementation,"Team onboarding/set-up was to be completed by Dec'24; still in progress and will be completed by Jan'25
"
A,ABC2,ABC2.01,1. Mobilize the team and resources.,Low,12/1/2024,2/5/2025,1,0.025641026,0.025641026,,,
A,ABC2,ABC2.02,Assess the current state of IT systems.,Low,2/13/2025,2/6/2025,1,0.025641026,0.025641026,,,
A,ABC2,ABC2.03,Analyze the IT cybersecurity threat landscape.,Medium,2/6/2025,2/6/2025,1,0.051282051,0.051282051,,,
